Horizon name           Segment       CDP         X         Y         Z
------------------    --------  --------  --------  --------  --------
Fault1                       1   1282.89   8011.84      0.00    505.17
Fault1                       1   1283.81   8017.54      0.00    519.75
Fault1                       1   1285.35   8027.19      0.00    533.33
Fault1                       1   1287.71   8041.93      0.00    553.42
Fault1                       1   1288.27   8045.46      0.00    558.17
Fault1                       1   1289.07   8050.46      0.00    564.84
Fault1                       1   1289.75   8054.68      0.00    570.44
Fault1                       1   1290.66   8060.39      0.00    577.99
Fault1                       1   1291.13   8063.30      0.00    581.82
Fault1                       1   1293.14   8075.86      0.00    598.25
Fault1                       1   1295.62   8091.37      0.00    618.37
Fault1                       1   1296.06   8094.15      0.00    621.96
Fault1                       1   1298.09   8106.81      0.00    638.32
Fault1                       1   1301.53   8128.30      0.00    666.11
Fault1                       1   1304.87   8149.16      0.00    693.36
Fault1                       1   1305.58   8153.61      0.00    699.21
Fault1                       1   1306.60   8159.98      0.00    707.69
Fault1                       1   1308.05   8169.06      0.00    719.80
Fault1                       1   1308.19   8169.92      0.00    720.95
Fault1                       1   1309.60   8178.75      0.00    732.54
Fault1                       1   1312.40   8196.25      0.00    754.29
Fault1                       1   1313.73   8204.54      0.00    763.82
Fault1                       1   1314.86   8211.63      0.00    771.65
Fault1                       1   1315.20   8213.73      0.00    773.92
Fault1                       1   1317.63   8228.93      0.00    790.09
Fault1                       1   1320.08   8244.26      0.00    807.51
Fault1                       1   1322.73   8260.84      0.00    825.93
Fault1                       1   1324.29   8270.56      0.00    837.57
Fault1                       1   1328.47   8296.69      0.00    866.72
Fault1                       1   1330.32   8308.23      0.00    879.26
Fault1                       1   1331.01   8312.56      0.00    883.65
Fault1                       1   1331.59   8316.20      0.00    887.19
Fault1                       1   1333.70   8329.35      0.00    898.78
Fault1                       1   1333.89   8330.58      0.00    899.75
Fault1                       1   1335.21   8338.82      0.00    905.93
Fault1                       1   1336.70   8348.11      0.00    912.29
Fault1                       1   1339.11   8363.19      0.00    921.92
Fault1                       1   1341.71   8379.41      0.00    932.24
Fault1                       1   1342.95   8387.21      0.00    937.50
Fault1                       1   1343.84   8392.77      0.00    941.39
Fault1                       1   1348.74   8423.40      0.00    964.89
Fault1                       1   1352.18   8444.86      0.00    983.24
Fault1                       1   1356.38   8471.15      0.00   1007.56
Fault1                       1   1358.19   8482.47      0.00   1018.59
Fault1                       1   1361.17   8501.05      0.00   1037.35
Fault1                       1   1363.46   8515.36      0.00   1052.28
Fault1                       1   1365.91   8530.66      0.00   1066.51
Fault1                       1   1367.82   8542.62      0.00   1081.58
Fault1                       1   1368.90   8549.36      0.00   1088.94
Fault1                       1   1371.69   8566.84      0.00   1108.19
Fault1                       1   1373.41   8577.57      0.00   1119.65
Fault1                       1   1374.33   8583.31      0.00   1126.41
Fault1                       1   1376.43   8596.43      0.00   1140.93
Fault1                       1   1378.93   8612.06      0.00   1158.10
Fault1                       1   1381.21   8626.34      0.00   1173.64
Fault1                       1   1382.80   8636.22      0.00   1184.28
Fault1                       1   1386.30   8658.10      0.00   1207.42
Fault1                       1   1388.23   8670.18      0.00   1219.88
Fault1                       1   1390.67   8685.47      0.00   1235.29
Fault1                       1   1391.03   8687.70      0.00   1237.51
Fault1                       1   1394.02   8706.38      0.00   1255.66
Fault1                       1   1396.30   8720.65      0.00   1269.04
Fault1                       1   1398.66   8735.40      0.00   1282.36
Fault1                       1   1400.75   8748.41      0.00   1293.68
Fault1                       1   1402.52   8759.52      0.00   1302.99
Fault1                       1   1404.27   8770.42      0.00   1311.80
Fault1                       1   1409.23   8801.45      0.00   1337.74
Fault1                       1   1412.20   8820.00      0.00   1352.00
Fault1                       1   1419.52   8865.72      0.00   1381.44
Fault1                       1   1424.15   8894.72      0.00   1399.96
Fault1                       1   1426.11   8906.92      0.00   1407.90
Fault1                       1   1431.72   8942.00      0.00   1430.80
Fault1                       1   1433.67   8954.17      0.00   1438.73
Fault1                       1   1440.90   8999.39      0.00   1468.35
Fault1                       1   1446.90   9036.88      0.00   1493.36
Fault1                       1   1450.93   9062.08      0.00   1510.53
Fault1                       1   1454.66   9085.35      0.00   1526.73
Fault1                       1   1457.74   9104.65      0.00   1540.45
Fault1                       1   1459.31   9114.41      0.00   1547.51
Fault1                       1   1461.39   9127.43      0.00   1557.05
Fault1                       1   1465.14   9150.88      0.00   1574.57
Fault1                       1   1466.75   9160.93      0.00   1582.18
Fault1                       1   1468.33   9170.83      0.00   1589.72
Fault1                       1   1470.66   9185.36      0.00   1600.86
Fault1                       1   1472.45   9196.54      0.00   1609.47
Fault1                       1   1473.74   9204.63      0.00   1615.71
Fault1                       1   1476.92   9224.50      0.00   1631.05
Fault1                       1   1478.62   9235.16      0.00   1639.26
Fault1                       1   1480.65   9247.83      0.00   1648.99
Fault1                       1   1483.89   9268.07      0.00   1664.40
Fault1                       1   1487.10   9288.10      0.00   1679.44
Fault1                       1   1488.20   9294.97      0.00   1684.50
Fault1                       1   1498.68   9360.47      0.00   1731.28
Fault1                       1   1498.93   9362.05      0.00   1732.38
Fault1                       1   1503.81   9392.55      0.00   1753.32
Fault1                       1   1504.41   9396.31      0.00   1755.86
Fault1                       1   1508.62   9422.64      0.00   1773.48
Fault1                       1   1509.66   9429.11      0.00   1777.76
Fault1                       1   1509.98   9431.12      0.00   1779.09
Fault1                       1   1513.68   9454.27      0.00   1794.21
Fault1                       1   1515.21   9463.83      0.00   1800.37
Fault1                       1   1516.38   9471.15      0.00   1805.06
Fault1                       1   1517.04   9475.26      0.00   1807.68
Fault1                       1   1520.09   9494.30      0.00   1819.73
Fault1                       1   1527.60   9541.22      0.00   1848.75
Fault1                       1   1529.67   9554.19      0.00   1856.66
Fault1                       1   1531.87   9567.92      0.00   1864.99
Fault1                       1   1536.33   9595.79      0.00   1881.85
Fault1                       1   1536.79   9598.69      0.00   1883.60
Fault1                       1   1540.83   9623.95      0.00   1898.88
Fault1                       1   1544.39   9646.17      0.00   1912.39
Fault1                       1   1544.83   9648.95      0.00   1914.09
Fault1                       1   1545.36   9652.25      0.00   1916.11
Fault1                       1   1547.76   9667.24      0.00   1925.31
Fault1                       1   1550.38   9683.63      0.00   1935.45
Fault1                       1   1551.27   9689.17      0.00   1938.90
Fault1                       1   1555.79   9717.44      0.00   1956.74
Fault1                       1   1556.80   9723.76      0.00   1960.79
Fault1                       1   1559.32   9739.48      0.00   1970.95
Fault1                       1   1561.80   9754.98      0.00   1981.08
Fault1                       1   1568.78   9798.60      0.00   2009.67
Fault1                       1   1572.07   9819.21      0.00   2023.02
Fault1                       1   1580.12   9869.47      0.00   2054.25
Fault1                       1   1582.14   9882.11      0.00   2061.69
Fault1                       1   1584.50   9896.90      0.00   2070.12
Fault1                       1   1587.31   9914.44      0.00   2079.71
Fault1                       1   1593.29   9951.80      0.00   2098.93
Fault1                       1   1594.99   9962.44      0.00   2104.15
Fault1                       1   1601.62  10003.86      0.00   2123.61
Fault1                       1   1603.49  10015.57      0.00   2128.90
Fault1                       1   1606.82  10036.35      0.00   2138.11
Fault1                       1   1618.35  10108.45      0.00   2168.76
Fault1                       1   1623.93  10143.29      0.00   2183.04
Fault1                       1   1627.49  10165.57      0.00   2192.05
Fault1                       1   1633.99  10206.16      0.00   2208.28
Fault1                       1   1640.16  10244.78      0.00   2223.60
Fault1                       1   1641.26  10251.62      0.00   2226.34
Fault1                       1   1644.47  10271.71      0.00   2234.28
Fault1                       1   1647.92  10293.28      0.00   2242.47
Fault1                       1   1651.53  10315.81      0.00   2250.98
Fault1                       1   1660.07  10369.18      0.00   2270.73
Fault1                       1   1674.60  10460.02      0.00   2307.25
Fault1                       1   1690.51  10559.41      0.00   2354.36
Fault1                       1   1707.70  10666.88      0.00   2407.81
Fault1                       1   1720.06  10744.11      0.00   2447.80
Fault1                       1   1750.26  10932.90      0.00   2558.76
Fault1                       1   1772.69  11073.05      0.00   2640.05
Fault1                       1   1796.95  11224.71      0.00   2708.48
Fault2                       1   1401.03   8750.17      0.00    505.49
Fault2                       1   1404.58   8772.37      0.00    531.10
Fault2                       1   1407.82   8792.63      0.00    550.23
Fault2                       1   1409.23   8801.41      0.00    558.71
Fault2                       1   1410.83   8811.43      0.00    569.26
Fault2                       1   1413.14   8825.86      0.00    585.98
Fault2                       1   1414.63   8835.20      0.00    597.60
Fault2                       1   1415.83   8842.71      0.00    607.30
Fault2                       1   1418.18   8857.35      0.00    626.70
Fault2                       1   1419.19   8863.67      0.00    635.10
Fault2                       1   1420.46   8871.65      0.00    645.53
Fault2                       1   1423.51   8890.70      0.00    669.53
Fault2                       1   1427.65   8916.58      0.00    700.91
Fault2                       1   1429.10   8925.65      0.00    711.85
Fault2                       1   1430.77   8936.06      0.00    724.51
Fault2                       1   1432.44   8946.50      0.00    737.42
Fault2                       1   1434.07   8956.71      0.00    750.38
Fault2                       1   1436.21   8970.06      0.00    767.81
Fault2                       1   1439.45   8990.30      0.00    795.11
Fault2                       1   1441.69   9004.34      0.00    814.58
Fault2                       1   1443.75   9017.19      0.00    832.71
Fault2                       1   1446.02   9031.36      0.00    852.93
Fault2                       1   1448.52   9047.01      0.00    875.55
Fault2                       1   1450.13   9057.08      0.00    890.18
Fault2                       1   1453.41   9077.56      0.00    919.88
Fault2                       1   1455.06   9087.86      0.00    934.68
Fault2                       1   1455.73   9092.09      0.00    940.70
Fault2                       1   1458.38   9108.65      0.00    963.98
Fault2                       1   1459.46   9115.38      0.00    973.26
Fault2                       1   1462.51   9134.41      0.00    999.51
Fault2                       1   1464.02   9143.86      0.00   1013.31
Fault2                       1   1464.80   9148.73      0.00   1020.21
Fault2                       1   1472.67   9197.95      0.00   1078.99
Fault2                       1   1475.91   9218.17      0.00   1103.85
Fault2                       1   1479.36   9239.72      0.00   1129.27
Fault2                       1   1485.11   9275.68      0.00   1171.13
Fault2                       1   1486.11   9281.95      0.00   1177.97
Fault2                       1   1490.46   9309.12      0.00   1206.98
Fault2                       1   1490.99   9312.45      0.00   1210.48
Fault2                       1   1493.47   9327.95      0.00   1226.56
Fault2                       1   1496.89   9349.29      0.00   1248.27
Fault2                       1   1500.42   9371.36      0.00   1270.22
Fault2                       1   1502.19   9382.42      0.00   1281.06
Fault2                       1   1503.29   9389.32      0.00   1287.76
Fault2                       1   1505.53   9403.28      0.00   1301.20
Fault2                       1   1508.26   9420.37      0.00   1317.45
Fault2                       1   1510.62   9435.13      0.00   1331.30
Fault2                       1   1511.46   9440.37      0.00   1336.17
Fault2                       1   1514.24   9457.75      0.00   1352.14
