Horizon name             Index       Red     Green      Blue   Segment         X         Y         Z        Vp   Vp grad        Vs   density         q
------------------    --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------
Fault1                      17      1.00      0.00      0.00         1   8011.84      0.00    505.17   1660.29     0.250    411.43      2.00  62000.00
Fault1                      17      1.00      0.00      0.00         1   8017.54      0.00    519.75   1583.94     0.250    352.63      1.98  62000.00
Fault1                      17      1.00      0.00      0.00         1   8027.19      0.00    533.33   1547.33     0.250    324.45      1.97  62000.00
Fault1                      17      1.00      0.00      0.00         1   8041.93      0.00    553.42   1552.36     0.250    328.31      1.97  62000.00
Fault1                      17      1.00      0.00      0.00         1   8045.46      0.00    558.17   1583.54     0.250    352.33      1.98  62000.00
Fault1                      17      1.00      0.00      0.00         1   8050.46      0.00    564.84   1585.21     0.250    353.61      1.98  62000.00
Fault1                      17      1.00      0.00      0.00         1   8054.68      0.00    570.44   1726.61     0.250    462.49      2.02  62000.00
Fault1                      17      1.00      0.00      0.00         1   8060.39      0.00    577.99   1728.50     0.250    463.94      2.02  62000.00
Fault1                      17      1.00      0.00      0.00         1   8063.30      0.00    581.82   1679.45     0.250    426.18      2.01  62000.00
Fault1                      17      1.00      0.00      0.00         1   8075.86      0.00    598.25   1683.56     0.250    429.34      2.01  62000.00
Fault1                      17      1.00      0.00      0.00         1   8091.37      0.00    618.37   1688.59     0.250    433.22      2.01  62000.00
Fault1                      17      1.00      0.00      0.00         1   8094.15      0.00    621.96   1759.49     0.250    487.81      2.03  62000.00
Fault1                      17      1.00      0.00      0.00         1   8106.81      0.00    638.32   1763.58     0.250    490.96      2.03  62000.00
Fault1                      17      1.00      0.00      0.00         1   8128.30      0.00    666.11   1640.53     0.250    396.21      2.00  62000.00
Fault1                      17      1.00      0.00      0.00         1   8149.16      0.00    693.36   1647.34     0.250    401.45      2.00  62000.00
Fault1                      17      1.00      0.00      0.00         1   8153.61      0.00    699.21   1618.80     0.250    379.48      1.99  62000.00
Fault1                      17      1.00      0.00      0.00         1   8159.98      0.00    707.69   1620.92     0.250    381.11      1.99  62000.00
Fault1                      17      1.00      0.00      0.00         1   8169.06      0.00    719.80   1623.95     0.250    383.44      1.99  62000.00
Fault1                      17      1.00      0.00      0.00         1   8169.92      0.00    720.95   1664.24     0.250    414.46      2.00  62000.00
Fault1                      17      1.00      0.00      0.00         1   8178.75      0.00    732.54   1667.13     0.250    416.69      2.00  62000.00
Fault1                      17      1.00      0.00      0.00         1   8196.25      0.00    754.29   1672.57     0.250    420.88      2.01  62000.00
Fault1                      17      1.00      0.00      0.00         1   8204.54      0.00    763.82   1674.96     0.250    422.72      2.01  62000.00
Fault1                      17      1.00      0.00      0.00         1   8211.63      0.00    771.65   1606.91     0.250    370.32      1.99  62000.00
Fault1                      17      1.00      0.00      0.00         1   8213.73      0.00    773.92   1607.48     0.250    370.76      1.99  62000.00
Fault1                      17      1.00      0.00      0.00         1   8228.93      0.00    790.09   1681.52     0.250    427.77      2.01  62000.00
Fault1                      17      1.00      0.00      0.00         1   8244.26      0.00    807.51   1685.88     0.250    431.12      2.01  62000.00
Fault1                      17      1.00      0.00      0.00         1   8260.84      0.00    825.93   1810.48     0.250    527.07      2.05  62000.00
Fault1                      17      1.00      0.00      0.00         1   8270.56      0.00    837.57   1813.39     0.250    529.31      2.05  62000.00
Fault1                      17      1.00      0.00      0.00         1   8296.69      0.00    866.72   1690.68     0.250    434.82      2.01  62000.00
Fault1                      17      1.00      0.00      0.00         1   8308.23      0.00    879.26   1643.81     0.250    465.63      1.89  62000.00
Fault1                      17      1.00      0.00      0.00         1   8312.56      0.00    883.65   1644.91     0.250    466.51      1.89  62000.00
Fault1                      17      1.00      0.00      0.00         1   8316.20      0.00    887.19   1705.80     0.250    446.46      2.02  62000.00
Fault1                      17      1.00      0.00      0.00         1   8329.35      0.00    898.78   1708.69     0.250    448.69      2.02  62000.00
